AvailabilityDate,BasedOn.Name,BasedOnId,ConfigureDuringSale,Description,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
2024-02-01T20:00:00.000+0000,Subscription,11Ba5000000ddo4EAA,Allowed,Test Subscription Product,Software,01ta5000000A6iTAAS,true,true,false,Subscription,SUB,Each,SUB,
,Processor,11Ba5000000ddo1EAA,Allowed,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,01ta5000000A6iUAAS,true,true,false,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,
,Server,11Ba5000000ddnxEAA,Allowed,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",Bundle,01ta5000000A6iVAAS,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle
,Memory,11Ba5000000ddnzEAA,Allowed,16GB RDIMM,Hardware,01ta5000000A6iWAAS,true,true,false,16GB RDIMM,QB-MEM 16GB,Each,,
,Hard_Drive,11Ba5000000ddnyEAA,Allowed,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,01ta5000000A6iXAAS,true,true,false,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,
,Hard_Drive,11Ba5000000ddnyEAA,Allowed,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",Hardware,01ta5000000A6iYAAS,true,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,
,Network_Adapter,11Ba5000000ddo0EAA,Allowed,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,01ta5000000A6iZAAS,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,
,Professional_Services_Bundle,11Ba5000000ddo2EAA,Allowed,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",Bundle,01ta5000000A6iaAAC,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle
,Engineering_Resources,11Ba5000000ddo3EAA,Allowed,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,01ta5000000A6ibAAC,true,true,false,Implementation Engineer,QB-SRV-IMP,,,
,Cables,11Ba5000000ddntEAA,Allowed,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,01ta5000000A6icAAC,true,true,false,Configured Power Cable,QB-CMPC-5887,,,
