$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
QuantumBit Fundamentals Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,BundleComponent,,,false,0dSa50000000cJpEAI,false,false,false,,,PRC-000000001,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Training;QuantumBit Starter,0y7a500000002rSAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
QuantumBit Essentials Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01ta5000000A6jkAAC,BundleComponent,,,false,0dSa50000000cJqEAI,false,true,false,,,PRC-000000002,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Training;QuantumBit Starter,0y7a500000002rSAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
Gold Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Gold Hardware Maintenance,01ta5000000A6jBAAS,BundleComponent,,,false,0dSa50000000cJrEAI,false,false,false,,,PRC-000000003,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Maintenance;QuantumBit Starter,0y7a500000002rRAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
Silver Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Silver Hardware Maintenance,01ta5000000A6jGAAS,BundleComponent,,,false,0dSa50000000cJsEAI,false,true,false,,,PRC-000000004,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Maintenance;QuantumBit Starter,0y7a500000002rRAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
API Access Requests (AEH);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,API Access Requests (AEH),01ta5000000A6jUAAS,BundleComponent,,,false,0dSa50000000cJtEAI,false,false,true,,,PRC-000000005,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,100,,70
QuantumBit Essentials Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01ta5000000A6jkAAC,BundleComponent,,,false,0dSa50000000cJuEAI,false,true,false,,,PRC-000000006,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7a500000002rUAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,10
QuantumBit Fundamentals Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,BundleComponent,,,false,0dSa50000000cJvEAI,false,false,false,,,PRC-000000007,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7a500000002rUAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,20
Professional Services Daily Rate;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Daily Rate,01ta5000000A6jmAAC,BundleComponent,,,false,0dSa50000000cJwEAI,false,true,true,,,PRC-000000008,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7a500000002rVAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,250,,10
Professional Services Scope of Work;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Scope of Work,01ta5000000A6jqAAC,BundleComponent,,,true,0dSa50000000cJxEAI,false,false,false,,,PRC-000000009,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7a500000002rVAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,20
QB API Management Solution;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,QB API Management Solution,01ta5000000A6igAAC,BundleComponent,,,false,0dSa50000000cJyEAI,false,false,true,,,PRC-000000010,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,,10
Additional Messages - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Messages - QB Starter,01ta5000000A6jKAAS,BundleComponent,,,false,0dSa50000000cJzEAI,false,false,true,,,PRC-000000011,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,30
Additional Flows - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Flows - QB Starter,01ta5000000A6jIAAS,BundleComponent,,,false,0dSa50000000cK0EAI,false,false,true,,,PRC-000000012,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,40
Additional Data Throughput (TB);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Data Throughput (TB),01ta5000000A6jMAAS,BundleComponent,,,false,0dSa50000000cK1EAI,false,false,true,,,PRC-000000013,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,50
Additional Automation QB Credits;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Automation QB Credits,01ta5000000A6jNAAS,BundleComponent,,,false,0dSa50000000cK2EAI,false,false,true,,,PRC-000000014,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,25,,60
Additional API;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional API,01ta5000000A6ioAAC,BundleComponent,,,false,0dSa50000000cK3EAI,false,false,true,,,PRC-000000015,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,10,,20
Implementation Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Implementation Engineer,01ta5000000A6ibAAC,BundleComponent,,,false,0dSa50000000cK4EAI,false,false,true,,,PRC-000000016,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,1
