AvailabilityDate,BasedOn.Name,ConfigureDuringSale,CurrencyIsoCode,Description,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type,DisplayUrl
,,,USD,QuantumBit API Experience Hub enables you to create vibrant ecosystems and grow engagement for your API products,Software,TRUE,TRUE,FALSE,API Access Requests (AEH),QB-API-REQT,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,TRUE,TRUE,FALSE,Cable Management Rings (Qty 10),QB-CMPC-5881,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,TRUE,TRUE,FALSE,"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5882,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,TRUE,TRUE,FALSE,Cable Containment Brackets,QB-CMPC-5884,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",Hardware,TRUE,TRUE,FALSE,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",Hardware,TRUE,TRUE,FALSE,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",Hardware,TRUE,TRUE,FALSE,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,,/resource/RLM_quantumBit_logo_sq
,,Allowed,USD,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,Bundle,TRUE,TRUE,FALSE,QuantumBit Starter,QB-BDL-STND,,,Bundle,/resource/RLM_quantumBit_logo_sq
,Processor,Allowed,USD,"Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,TRUE,TRUE,FALSE,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,Each,,,/resource/RLM_quantumBit_logo_sq
,Processor,Allowed,USD,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,TRUE,TRUE,FALSE,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,,,,/resource/RLM_quantumBit_logo_sq
,Processor,Allowed,USD,"Intel Xeon E5-2683 v4 2.1GHz,40M Cache,9.60GT/s QPI,Turbo,HT,16C/32T (120W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,TRUE,TRUE,FALSE,Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683,Each,,,/resource/RLM_quantumBit_logo_sq
,Memory,Allowed,USD,32GB RDIMM,Hardware,TRUE,TRUE,FALSE,32GB RDIMM,QB-MEM 32GB,Each,,,/resource/RLM_quantumBit_logo_sq
,Hard_Drive,Allowed,USD,1TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,TRUE,TRUE,FALSE,1TB 7.2k RPM NLSAS,QB-HD 1TB,Each,,,/resource/RLM_quantumBit_logo_sq
,API Type,Allowed,USD,,Software,TRUE,TRUE,FALSE,Additional API,AddAPI,,,,/resource/RLM_quantumBit_logo_sq
,QuantumBit2,Allowed,USD,QuantumBit Complete Solution,Bundle,TRUE,TRUE,FALSE,QuantumBit Complete Solution,QBCOMPLETE,,,Bundle,/resource/RLM_quantumBit_logo_sq
,Hard_Drive,Allowed,USD,4TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,TRUE,TRUE,FALSE,4TB 7.2k RPM NLSAS,QB-HD 4TB,Each,,,/resource/RLM_quantumBit_logo_sq
,Memory,Allowed,USD,8GB RDIMM,Hardware,TRUE,TRUE,FALSE,8GB RDIMM,QB-MEM 8GB,Each,,,/resource/RLM_quantumBit_logo_sq
,Network_Adapter,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,TRUE,TRUE,FALSE,Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710,Each,,,/resource/RLM_quantumBit_logo_sq
,Cables,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,C13 to C14 Power Cable 3',QB-CMPC-5887,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,C13 to C14 Power Cable 5',QB-CMPC-5888,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,C19 to C20 Power Cable 3',QB-CMPC-5889,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,C19 to C20 Power Cable 5',QB-CMPC-5890,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,L5-20 Input Power Cable 12',QB-CMPC-5891,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TRUE,TRUE,FALSE,L5-20 Input Power Cable 8',QB-CMPC-5892,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"System maintenance, administration, and configuration performed by a certified technician. Also includes 24x7 phone service and monthly on-site check-ups. 20% of hardware.",Services,TRUE,TRUE,FALSE,Gold Hardware Maintenance,QB-SUPP-1005,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"System maintenance, administration, and configuration performed by a certified technician. 15% of hardware.",Services,TRUE,TRUE,FALSE,Silver Hardware Maintenance,QB-SUPP-1000,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"Your QuantumBit Automation subscription plan includes a quota of Automation QB Credits that you can use with QB RPA, QB Orchestrator, or a combination of both products. As you use processes to create automations, your total credit quota is depleted. 1 QB Automation Credit = 2 RPA Bot Minutes, 1 QB Automation Credit = 100 RPA API Calls, 1 QB Automation Credit = 50 Orchestrator Tasks",Software,TRUE,TRUE,FALSE,Additional Automation QB Credits,QB-AUT-CRED,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,TRUE,TRUE,FALSE,Additional API Prod,QB-API-PROD,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,Bundle,TRUE,TRUE,FALSE,QuantumBit Enterprise,QB-BDL-ENTR,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",Bundle,TRUE,TRUE,FALSE,QuantumBit Business Critical,QB-BDL-CRTL,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"With our Fundamentals Training you will read, watch videos, and participate in activities aimed to give hands-on experience with the basics of the tool.",Services,TRUE,TRUE,FALSE,QuantumBit Fundamentals Training,QB-TRN-FUND,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,"With our Essentials Training, you'll get access to live webinars, self-paced learning modules, and powerful analysis tools.",Services,TRUE,TRUE,FALSE,QuantumBit Essentials Training,QB-TRN-ESSNTLS,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Professional services option to be priced on a per-day basis.,Services,TRUE,TRUE,FALSE,Professional Services Daily Rate,QB-SRV-OG-PSH,,,,/resource/RLM_quantumBit_logo_sq
,,,USD,Implementation managed by in-house professional services with an agreed upon scope of work.,Services,TRUE,TRUE,FALSE,Professional Services Scope of Work,QB-SRV-SOW,,,,/resource/RLM_quantumBit_logo_sq
