$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.Name,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.Name,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
QuantumBit Fundamentals Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01tal000000Vw2bAAC,BundleComponent,,,false,0dSal0000000QxtEAE,false,false,false,,,PRC-000000001,QuantumBit Starter,01tal000000Vw1UAAS,Bundle,,,Training;QuantumBit Starter,0y7al000000009iAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,
QuantumBit Essentials Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01tal000000Vw2cAAC,BundleComponent,,,false,0dSal0000000QxuEAE,false,true,false,,,PRC-000000002,QuantumBit Starter,01tal000000Vw1UAAS,Bundle,,,Training;QuantumBit Starter,0y7al000000009iAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,
Gold Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Gold Hardware Maintenance,01tal000000Vw23AAC,BundleComponent,,,false,0dSal0000000QxvEAE,false,false,false,,,PRC-000000003,QuantumBit Starter,01tal000000Vw1UAAS,Bundle,,,Maintenance;QuantumBit Starter,0y7al000000009hAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,
Silver Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Silver Hardware Maintenance,01tal000000Vw28AAC,BundleComponent,,,false,0dSal0000000QxwEAE,false,true,false,,,PRC-000000004,QuantumBit Starter,01tal000000Vw1UAAS,Bundle,,,Maintenance;QuantumBit Starter,0y7al000000009hAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,
API Access Requests (AEH);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,API Access Requests (AEH),01tal000000Vw2MAAS,BundleComponent,,,false,0dSal0000000QyBEAU,false,false,true,,,PRC-000000019,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,100,,70
QuantumBit Essentials Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01tal000000Vw2cAAC,BundleComponent,,,false,0dSal0000000QyCEAU,false,true,false,,,PRC-000000020,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7al000000009mAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,10
QuantumBit Fundamentals Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01tal000000Vw2bAAC,BundleComponent,,,false,0dSal0000000QyDEAU,false,false,false,,,PRC-000000021,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7al000000009mAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,20
Professional Services Daily Rate;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Daily Rate,01tal000000Vw2eAAC,BundleComponent,,,false,0dSal0000000QyEEAU,false,true,true,,,PRC-000000022,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7al000000009nAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,250,,10
Professional Services Scope of Work;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Scope of Work,01tal000000Vw2iAAC,BundleComponent,,,true,0dSal0000000QyFEAU,false,false,false,,,PRC-000000023,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7al000000009nAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,Proportional,20
QB API Management Solution;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,QB API Management Solution,01tal000000Vw1YAAS,BundleComponent,,,false,0dSal0000000QyGEAU,true,true,true,,,PRC-000000024,QuantumBit Complete Solution,01tal000000Vw1hAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7al000000009lAAA,Bundle to Bundle Component Relationship,0yoal0000000REjAAM,1,,10
