AvailabilityDate,BasedOnId,ConfigureDuringSale,Description,Errors,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
2024-02-01T20:00:00.000+0000,11Bam000001tas8EAA,Allowed,Test Subscription Product,,Software,01tam000000ZjDZAA0,true,true,false,Subscription,SUB,Each,SUB,
,11Bam000001tas5EAA,Allowed,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01tam000000ZjDaAAK,true,true,false,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,
,11Bam000001tas1EAA,Allowed,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",,Bundle,01tam000000ZjDbAAK,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle
,11Bam000001tas3EAA,Allowed,16GB RDIMM,,Hardware,01tam000000ZjDcAAK,true,true,false,16GB RDIMM,QB-MEM 16GB,Each,,
,11Bam000001tas2EAA,Allowed,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,,Hardware,01tam000000ZjDdAAK,true,true,false,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,
,11Bam000001tas2EAA,Allowed,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",,Hardware,01tam000000ZjDeAAK,true,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,
,11Bam000001tas4EAA,Allowed,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,,Hardware,01tam000000ZjDfAAK,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,
,11Bam000001tas6EAA,Allowed,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",,Bundle,01tam000000ZjDgAAK,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle
,11Bam000001tas7EAA,Allowed,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,,Services,01tam000000ZjDhAAK,true,true,false,Implementation Engineer,QB-SRV-IMP,,,
,11Bam000001tarxEAA,Allowed,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01tam000000ZjDiAAK,true,true,false,Configured Power Cable,QB-CMPC-5887,,,
,,Allowed,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,,Bundle,01tam000000ZjDjAAK,true,true,false,QuantumBit Starter,QB-BDL-STND,,,Bundle
,11Bam000001tas5EAA,Allowed,"Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01tam000000ZjDkAAK,true,true,false,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,Each,,
,11Bam000001tas5EAA,Allowed,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01tam000000ZjDlAAK,true,true,false,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,,,
,,,Increase productivity by managing all your APIs and microservices from one place.,,Software,01tam000000ZjDmAAK,true,true,false,QB API Management Solution,QB-API-MGMT,,,
